Job,Task Characteristic,Column,Value
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Problem Solving,Work Activities - Information Input,4
"Cooks, Restaurant",Problem Solving,Work Activities - Information Input,4
Veterinarians,Problem Solving,Work Activities - Information Input,6
Computer and Information Systems Managers,Problem Solving,Work Activities - Information Input,6
Embalmers,Problem Solving,Work Activities - Information Input,6
Nuclear Medicine Technologists,Problem Solving,Work Activities - Information Input,5
Elevator and Escalator Installers and Repairers,Problem Solving,Work Activities - Information Input,5
Fuel Cell Engineers,Problem Solving,Work Activities - Mental Processes,6
Medical and Health Services Managers,Problem Solving,Work Activities - Interacting with Others,6
Occupational Therapy Assistants,Problem Solving,Work Activities - Information Input,5
Crane and Tower Operators,Problem Solving,Work Activities - Information Input,5
"Grinding and Polishing Workers, Hand",Problem Solving,Work Activities - Information Input,5
Automotive Engineering Technicians,Problem Solving,Work Activities - Information Input,5
Business Continuity Planners,Problem Solving,Work Activities - Information Input,5
Magnetic Resonance Imaging Technologists,Problem Solving,Work Activities - Information Input,5
Detectives and Criminal Investigators,Problem Solving,Work Context - Interpersonal Relationships,6
Training and Development Managers,Problem Solving,Work Activities - Interacting with Others,6
Administrative Services Managers,Problem Solving,Work Activities - Information Input,5
Civil Engineering Technologists and Technicians,Problem Solving,Work Activities - Information Input,5
Forest and Conservation Technicians,Problem Solving,Work Activities - Information Input,5
Helpers--Roofers,Problem Solving,Work Activities - Information Input,5
"Library Assistants, Clerical",Problem Solving,Work Activities - Information Input,5
Logistics Analysts,Problem Solving,Work Activities - Information Input,5
Private Detectives and Investigators,Problem Solving,Work Activities - Information Input,5
Rail Car Repairers,Problem Solving,Work Activities - Information Input,5
Social and Community Service Managers,Problem Solving,Work Activities - Information Input,5
Recycling Coordinators,Problem Solving,Work Activities - Interacting with Others cont.,5
Animal Caretakers,Problem Solving,Work Activities - Information Input,4
Parking Enforcement Workers,Problem Solving,Work Activities - Mental Processes,5
Pest Control Workers,Problem Solving,Work Activities - Information Input,4
"Cooks, Institution and Cafeteria",Problem Solving,Work Activities - Information Input,4
Nursing Assistants,Problem Solving,Work Activities - Information Input,6
Home Health Aides,Problem Solving,Work Activities - Information Input,6
Occupational Therapy Aides,Problem Solving,Work Activities - Information Input,6
Cardiovascular Technologists and Technicians,Problem Solving,Work Activities - Information Input,5
Psychiatrists,Problem Solving,Work Context - Interpersonal Relationships,6
Public Safety Telecommunicators,Problem Solving,Work Context - Interpersonal Relationships,6
Logging Equipment Operators,Problem Solving,Work Activities - Information Input,5
Manufactured Building and Mobile Home Installers,Problem Solving,Work Activities - Mental Processes,6
Architectural and Engineering Managers,Problem Solving,Work Activities - Mental Processes,6
Human Factors Engineers and Ergonomists,Problem Solving,Work Activities - Mental Processes,6
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Problem Solving,Work Activities - Interacting with Others,6
Soil and Plant Scientists,Problem Solving,Work Activities - Mental Processes,6
"Energy Engineers, Except Wind and Solar",Problem Solving,Work Activities - Mental Processes,6
Foresters,Problem Solving,Work Activities - Information Input,5
Physical Therapist Aides,Problem Solving,Work Activities - Information Input,5
Transit and Railroad Police,Problem Solving,Work Activities - Interacting with Others cont.,6
Broadcast Technicians,Problem Solving,Work Activities - Information Input,5
Industrial Engineering Technologists and Technicians,Problem Solving,Work Activities - Mental Processes,6
Wind Energy Development Managers,Problem Solving,Work Activities - Information Input,5
Electro-Mechanical and Mechatronics Technologists and Technicians,Problem Solving,Work Activities - Information Input,5
Loss Prevention Managers,Problem Solving,Work Activities - Interacting with Others cont.,6
Dental Laboratory Technicians,Problem Solving,Work Activities - Information Input,5
Tire Repairers and Changers,Problem Solving,Work Activities - Information Input,5
Hazardous Materials Removal Workers,Problem Solving,Work Activities - Information Input,5
"Roustabouts, Oil and Gas",Problem Solving,Work Activities - Information Input,5
"Special Education Teachers, Preschool",Problem Solving,Work Activities - Information Input,5
Automotive Body and Related Repairers,Problem Solving,Work Activities - Information Input,5
Industrial Truck and Tractor Operators,Problem Solving,Work Activities - Information Input,5
Personal Care Aides,Problem Solving,Work Activities - Information Input,4
First-Line Supervisors of Office and Administrative Support Workers,Problem Solving,Work Activities - Interacting with Others cont.,5
Gas Plant Operators,Problem Solving,Work Activities - Information Input,4
Tool and Die Makers,Problem Solving,Work Activities - Mental Processes,5
Agricultural Inspectors,Problem Solving,Work Activities - Interacting with Others cont.,5
Foundry Mold and Coremakers,Problem Solving,Work Activities - Information Input,4
Shampooers,Problem Solving,Work Activities - Information Input,4
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,4
"Graders and Sorters, Agricultural Products",Problem Solving,Work Activities - Information Input,4
Dredge Operators,Problem Solving,Work Activities - Information Input,3
Medical and Clinical Laboratory Technologists,Problem Solving,Work Activities - Information Input,6
Acupuncturists,Problem Solving,Work Activities - Information Input,6
"Electrical and Electronics Installers and Repairers, Transportation Equipment",Problem Solving,Work Activities - Information Input,5
Molecular and Cellular Biologists,Problem Solving,Work Activities - Mental Processes,6
Regulatory Affairs Managers,Problem Solving,Work Activities - Interacting with Others,6
Telecommunications Engineering Specialists,Problem Solving,Work Activities - Information Input,5
"Farmers, Ranchers, and Other Agricultural Managers",Problem Solving,Work Activities - Information Input,5
Preventive Medicine Physicians,Problem Solving,Work Activities - Interacting with Others,6
"Anthropology and Archeology Teachers, Postsecondary",Problem Solving,Work Activities - Mental Processes,6
Instructional Coordinators,Problem Solving,Work Activities - Interacting with Others,6
Avionics Technicians,Problem Solving,Work Activities - Information Input,5
Log Graders and Scalers,Problem Solving,Work Activities - Information Input,5
Music Therapists,Problem Solving,Work Activities - Mental Processes,6
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Problem Solving,Work Activities - Information Input,5
First-Line Supervisors of Housekeeping and Janitorial Workers,Problem Solving,Work Activities - Information Input,5
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Problem Solving,Work Context - Interpersonal Relationships,6
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Problem Solving,Work Activities - Information Input,5
"Electronic Equipment Installers and Repairers, Motor Vehicles",Problem Solving,Work Activities - Information Input,5
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Problem Solving,Work Activities - Information Input,5
Mechanical Drafters,Problem Solving,Work Activities - Information Input,5
Media Programming Directors,Problem Solving,Work Activities - Mental Processes,6
Rehabilitation Counselors,Problem Solving,Work Activities - Information Input,5
"Patternmakers, Wood",Problem Solving,Work Activities - Mental Processes,6
Cartographers and Photogrammetrists,Problem Solving,Work Activities - Mental Processes,5
Environmental Compliance Inspectors,Problem Solving,Work Activities - Interacting with Others cont.,5
Audio and Video Technicians,Problem Solving,Work Activities - Mental Processes,6
"Elementary School Teachers, Except Special Education",Problem Solving,Work Activities - Mental Processes,5
Commercial and Industrial Designers,Problem Solving,Work Activities - Mental Processes,5
